분류,구분,G,ERA,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,AVG
상대팀별,KT,1,1.50,1,0,0,0,1.000,24,6,5,1,1,0,4,1,1,0.217
상대팀별,NC,1,1.50,0,0,0,0,-,26,6,6,1,1,1,4,2,1,0.261
상대팀별,SSG,1,1.29,0,0,0,0,-,28,7,4,1,2,0,5,1,1,0.154
상대팀별,롯데,1,4.50,0,1,0,0,0.000,25,6,7,1,0,0,2,3,3,0.292
상대팀별,한화,1,1.29,1,0,0,0,1.000,27,7,6,0,0,0,5,1,1,0.231
구장별,대구,3,2.37,0,1,0,0,0.000,79,19,17,3,3,1,11,6,5,0.233
구장별,대전,1,1.29,1,0,0,0,1.000,27,7,6,0,0,0,5,1,1,0.231
구장별,수원,1,1.50,1,0,0,0,1.000,24,6,5,1,1,0,4,1,1,0.217
월별,3~4월,5,1.97,2,1,0,0,0.667,130,32,28,4,4,1,20,8,7,0.230
요일별,수,1,1.29,0,0,0,0,-,28,7,4,1,2,0,5,1,1,0.154
요일별,목,1,1.29,1,0,0,0,1.000,27,7,6,0,0,0,5,1,1,0.231
요일별,금,2,1.50,1,0,0,0,1.000,50,12,11,2,2,1,8,3,2,0.239
요일별,토,1,4.50,0,1,0,0,0.000,25,6,7,1,0,0,2,3,3,0.292
홈/방문별,홈,3,2.37,0,1,0,0,0.000,79,19,17,3,3,1,11,6,5,0.233
홈/방문별,방문,2,1.38,2,0,0,0,1.000,51,13,11,1,1,0,9,2,2,0.224
주/야간별,주간,1,4.50,0,1,0,0,0.000,25,6,7,1,0,0,2,3,3,0.292
주/야간별,야간,4,1.38,2,0,0,0,1.000,105,26,21,3,4,1,18,5,4,0.214
기간별,전반기,5,1.97,2,1,0,0,0.667,130,32,28,4,4,1,20,8,7,0.230
