분류,구분,H,2B,3B,HR,BB,HBP,SO,WP,BK,AVG
주자상황별,주자없음,23,4,1,3,2,0,16,0,0,0.284
주자상황별,1루,4,0,0,1,0,0,3,0,0,0.148
주자상황별,"1,2루",0,0,0,0,1,0,0,0,0,0.000
주자상황별,만루,0,0,0,0,0,0,0,0,0,0.000
주자상황별,"1,3루",0,0,0,0,0,0,1,0,0,0.000
주자상황별,2루,0,0,0,0,1,1,0,0,0,0.000
주자상황별,"2,3루",0,0,0,0,0,0,0,1,0,-
주자상황별,3루,1,0,0,0,0,0,0,0,0,0.500
주자상황별,주자있음,5,0,0,1,2,1,4,1,0,0.122
주자상황별,득점권,1,0,0,0,2,1,1,1,0,0.071
볼카운트별,0-0,6,1,0,1,0,0,0,0,0,0.429
볼카운트별,1-0,1,0,0,0,0,0,0,0,0,0.167
볼카운트별,2-0,1,0,1,0,0,0,0,0,0,0.500
볼카운트별,3-0,0,0,0,0,2,0,0,0,0,-
볼카운트별,0-1,5,1,0,1,0,0,0,0,0,0.263
볼카운트별,1-1,3,1,0,0,0,0,0,0,0,0.300
볼카운트별,2-1,1,0,0,0,0,0,0,1,0,0.200
볼카운트별,3-1,1,0,0,0,0,0,0,0,0,0.500
볼카운트별,0-2,1,0,0,0,0,1,4,0,0,0.091
볼카운트별,1-2,3,0,0,1,0,0,6,0,0,0.136
볼카운트별,2-2,4,0,0,1,0,0,6,0,0,0.222
볼카운트별,3-2,2,1,0,0,2,0,4,0,0,0.154
이닝별,1회,6,0,0,1,0,0,2,0,0,0.286
이닝별,2회,5,0,0,1,0,0,2,0,0,0.250
이닝별,3회,1,0,0,0,2,1,5,0,0,0.063
이닝별,4회,8,2,0,2,0,0,3,0,0,0.364
이닝별,5회,6,1,0,0,0,0,3,1,0,0.286
이닝별,6회,1,0,1,0,2,0,5,0,0,0.067
이닝별,7회,1,1,0,0,0,0,0,0,0,0.143
이닝별,1~3회,12,0,0,2,2,1,9,0,0,0.211
이닝별,4~6회,15,3,1,2,2,0,11,1,0,0.259
이닝별,7회이후,1,1,0,0,0,0,0,0,0,0.143
타순별,1번타자,4,0,0,0,0,0,1,0,0,0.250
타순별,2번타자,2,0,0,0,1,1,0,0,0,0.154
타순별,3번타자,5,1,1,1,1,0,6,0,0,0.357
타순별,4번타자,3,0,0,2,0,0,1,1,0,0.214
타순별,5번타자,4,0,0,0,1,0,2,0,0,0.286
타순별,6번타자,5,3,0,1,1,0,0,0,0,0.357
타순별,7번타자,2,0,0,0,0,0,3,0,0,0.143
타순별,8번타자,3,0,0,0,0,0,4,0,0,0.250
타순별,9번타자,0,0,0,0,0,0,3,0,0,0.000
타순별,상위(1~2번),6,0,0,0,1,1,1,0,0,0.207
타순별,중심(3~5번),12,1,1,3,2,0,9,1,0,0.286
타순별,하위(6~9번),10,3,0,1,1,0,10,0,0,0.196
타자유형별,좌타자,10,3,1,1,3,1,3,0,0,0.192
타자유형별,우타자,18,1,0,3,1,0,17,1,0,0.257
아웃카운트별,0아웃,7,2,0,1,0,0,9,0,0,0.184
아웃카운트별,1아웃,12,0,1,3,0,0,5,1,0,0.273
아웃카운트별,2아웃,9,2,0,0,4,1,6,0,0,0.225
