연도,순위,선수명,팀명,POS,G,GS,IP,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%,POS_EN
2022,1,배정대,KT,중견수,144,134,1195.6666666666667,3,0,313,5,1,0.991,0,0,0,,CF
2022,1,박해민,LG,중견수,144,142,1205.0,2,0,355,3,0,0.994,0,0,0,,CF
2022,3,오지환,LG,유격수,142,137,1167.0,16,0,210,359,83,0.973,0,0,0,,SS
2022,4,황재균,KT,3루수,138,133,1147.6666666666667,12,0,87,207,19,0.961,0,0,0,,3B
2022,4,송성문,키움,3루수,138,137,1216.0,15,0,89,250,23,0.958,0,0,0,,3B
2022,4,박성한,SSG,유격수,138,131,1176.0,24,0,215,376,97,0.961,0,0,0,,SS
2022,7,이지영,키움,포수,137,102,994.6666666666666,11,0,818,77,9,0.988,4,67,33,33.0,C
2022,7,김선빈,KIA,2루수,137,134,1134.3333333333333,10,0,246,334,80,0.983,0,0,0,,2B
2022,9,유강남,LG,포수,134,115,1008.3333333333334,7,1,821,71,8,0.992,4,91,19,17.3,C
2022,9,이정후,키움,중견수,134,132,1155.3333333333333,2,0,304,7,1,0.994,0,0,0,,CF
2022,11,나성범,KIA,우익수,132,132,1131.6666666666667,3,0,223,4,1,0.987,0,0,0,,RF
2022,11,터크먼,한화,중견수,132,129,1103.6666666666667,5,0,355,8,2,0.986,0,0,0,,CF
2022,13,박찬호,KIA,유격수,130,128,1103.3333333333333,22,0,215,338,66,0.962,0,0,0,,SS
2022,14,심우준,KT,유격수,129,124,1048.3333333333333,16,0,211,298,81,0.97,0,0,0,,SS
2022,14,황대인,KIA,1루수,129,127,1041.3333333333333,7,0,955,68,82,0.993,0,0,0,,1B
2022,16,김혜성,키움,2루수,127,123,1080.0,11,0,293,371,85,0.984,0,0,0,,2B
2022,17,박세혁,두산,포수,126,110,884.0,5,0,689,68,10,0.993,7,74,21,22.1,C
2022,18,강승호,두산,2루수,124,110,945.3333333333334,14,0,204,300,69,0.973,0,0,0,,2B
2022,18,정수빈,두산,중견수,124,109,979.6666666666666,1,0,289,3,0,0.997,0,0,0,,CF
2022,20,소크라테스,KIA,중견수,123,122,1009.6666666666666,5,0,302,1,0,0.984,0,0,0,,CF
2022,21,피렐라,삼성,좌익수,121,121,1026.3333333333333,5,0,228,7,1,0.979,0,0,0,,LF
2022,21,채은성,LG,1루수,121,120,935.0,10,0,896,53,90,0.99,0,0,0,,1B
