연도,순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,ISO,BB_pct,K_pct,BABIP,XBH,GO,AO,GO/AO,GW RBI,BB/K,P/PA,ISOP,XR,GPA
2022,1,이정후,키움,0.349,142,627,553,85,193,36,10,23,318,113,0,3,66.0,12.0,5.0,32.0,10.0,0.575,0.421,0.996,58.0,0.387,0.333,0.2259999999999999,0.1052631578947368,0.0510366826156299,0.3393213572854291,69,154,177,0.87,15,2.06,3.69,0.226,120.2,0.333
2022,2,피렐라,삼성,0.342,141,630,561,102,192,33,4,28,317,109,0,2,55.0,12.0,12.0,81.0,19.0,0.565,0.411,0.976,57.0,0.375,0.0,0.2229999999999999,0.0873015873015873,0.1285714285714285,0.3612334801762114,65,149,141,1.06,12,0.68,3.45,0.223,114.4,0.326
2022,3,박건우,NC,0.336,111,463,408,52,137,18,1,10,187,61,0,3,44.0,1.0,8.0,62.0,10.0,0.458,0.408,0.866,40.0,0.317,0.0,0.122,0.0950323974082073,0.1339092872570194,0.3746312684365782,29,100,112,0.89,7,0.71,3.87,0.123,72.1,0.298
2022,4,이대호,롯데,0.331,142,591,540,53,179,23,0,23,271,101,0,6,43.0,7.0,2.0,56.0,26.0,0.502,0.379,0.881,53.0,0.318,0.2,0.1709999999999999,0.0727580372250423,0.0947546531302876,0.3340471092077088,46,150,161,0.93,9,0.77,3.58,0.17,90.5,0.296
2022,5,나성범,KIA,0.32,144,649,563,92,180,39,2,21,286,97,0,5,64.0,6.0,17.0,137.0,7.0,0.508,0.402,0.91,54.0,0.316,0.0,0.188,0.098613251155624,0.2110939907550077,0.3878048780487805,62,117,134,0.87,9,0.47,3.75,0.188,110.9,0.308
2022,6,김혜성,키움,0.318,129,566,516,81,164,18,7,4,208,48,0,3,47.0,3.0,0.0,83.0,9.0,0.403,0.373,0.776,43.0,0.295,0.0,0.085,0.0830388692579505,0.146643109540636,0.3703703703703703,29,165,107,1.54,5,0.57,3.87,0.085,78.5,0.269
2022,7,문보경,LG,0.315,126,466,406,52,128,22,3,9,183,56,5,7,47.0,1.0,1.0,56.0,11.0,0.451,0.382,0.833,35.0,0.287,0.25,0.136,0.1008583690987124,0.1201716738197424,0.3419540229885057,34,124,105,1.18,7,0.84,3.73,0.135,69.7,0.285
2022,8,소크라테스,KIA,0.311,127,554,514,83,160,29,7,17,254,77,0,4,34.0,4.0,2.0,81.0,11.0,0.494,0.354,0.848,47.0,0.296,0.0,0.183,0.0613718411552346,0.1462093862815884,0.3404761904761905,53,125,152,0.82,8,0.42,3.65,0.183,82.8,0.283
2022,9,페르난데스,두산,0.309,139,550,508,52,157,28,0,6,203,77,0,5,35.0,0.0,2.0,45.0,34.0,0.4,0.353,0.753,43.0,0.343,0.5,0.091,0.0636363636363636,0.0818181818181818,0.3268398268398268,34,194,117,1.66,4,0.78,3.78,0.091,60.2,0.259
2022,10,조용호,KT,0.308,131,531,474,52,146,18,4,3,181,44,2,3,49.0,3.0,3.0,74.0,3.0,0.382,0.374,0.756,39.0,0.293,0.2,0.074,0.0922787193973634,0.1393596986817326,0.3575,25,134,123,1.09,9,0.66,3.97,0.074,68.9,0.264
