연도,순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,K9,BB9,FIP,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
2022,1,안우진,키움,2.11,30,15,8,0,0,0.652,196.0,131,4,55,4,224,51,46,0.95,10.285714285714285,2.5255102040816326,2.08265306122449,30,15,0,1,0,0,10,160,187,0.86
2022,2,김광현,SSG,2.13,28,13,3,0,0,0.813,173.33333333333334,141,10,45,5,153,48,41,1.07,7.944230769230769,2.336538461538461,3.0500000000000003,28,13,0,0,0,0,22,181,163,1.11
2022,3,플럿코,LG,2.39,28,15,5,0,0,0.75,162.0,125,13,38,2,149,53,43,1.01,8.277777777777777,2.111111111111111,3.144444444444445,28,15,0,0,0,0,14,105,221,0.48
2022,4,수아레즈,삼성,2.49,30,6,8,0,0,0.429,173.66666666666666,151,7,50,4,159,61,48,1.16,8.23992322456814,2.5911708253358925,2.8257197696737046,29,6,0,0,0,0,16,194,149,1.3
2022,5,켈리,LG,2.54,27,16,4,0,0,0.8,166.33333333333334,144,10,35,2,153,50,47,1.08,8.278557114228455,1.8937875751503004,2.809218436873748,27,16,0,0,0,0,14,179,149,1.2
2022,6,요키시,키움,2.57,30,10,8,0,0,0.556,185.33333333333331,169,8,33,5,154,61,53,1.09,7.47841726618705,1.6025179856115108,2.714388489208633,30,10,0,0,0,0,14,238,135,1.76
2022,7,폰트,SSG,2.69,28,13,6,0,0,0.684,184.0,141,18,34,6,170,63,55,0.95,8.315217391304348,1.6630434782608694,3.2760869565217394,28,13,0,1,0,0,5,153,222,0.69
2022,8,루친스키,NC,2.97,31,10,12,0,0,0.455,193.66666666666663,184,14,34,8,194,77,64,1.13,9.015490533562824,1.5800344234079176,2.7869191049913944,31,10,0,0,0,0,13,208,157,1.32
2022,9,뷰캐넌,삼성,3.04,26,11,8,0,0,0.579,160.0,176,10,39,8,117,61,54,1.34,6.58125,2.19375,3.4312500000000004,26,11,0,1,0,0,15,220,122,1.8
2022,10,소형준,KT,3.05,27,13,6,0,0,0.684,171.33333333333334,158,8,39,5,117,68,58,1.15,6.14591439688716,2.04863813229572,3.211673151750973,27,13,0,0,0,0,19,230,146,1.58
2022,11,고영표,KT,3.26,28,13,8,0,0,0.619,182.33333333333331,191,7,23,16,156,69,66,1.17,7.70018281535649,1.1352833638025597,2.6296160877513715,28,13,0,1,0,0,19,238,128,1.86
2022,12,스탁,두산,3.6,29,9,10,0,0,0.474,165.0,162,9,83,10,138,87,66,1.48,7.5272727272727264,4.527272727272727,3.927272727272728,29,9,0,0,0,0,25,196,130,1.51
2022,12,최원준,두산,3.6,30,8,13,0,0,0.381,165.0,183,21,37,7,113,80,66,1.33,6.163636363636363,2.018181818181818,4.284848484848485,30,8,0,0,0,0,11,124,243,0.51
2022,14,반즈,롯데,3.62,31,12,12,0,0,0.5,186.33333333333331,176,8,47,18,160,87,75,1.2,7.728085867620751,2.270125223613596,3.0872987477638643,31,12,0,0,0,0,16,198,180,1.1
2022,15,곽빈,두산,3.78,27,8,9,0,0,0.471,147.66666666666666,143,13,60,11,138,69,62,1.37,8.410835214446953,3.656884875846501,3.9178329571106096,27,8,0,0,0,0,8,118,168,0.7
2022,16,양현종,KIA,3.85,30,12,7,0,0,0.632,175.33333333333334,170,14,50,3,141,86,75,1.25,7.23764258555133,2.5665399239543727,3.5365019011406846,30,12,0,0,0,0,12,181,189,0.96
2022,17,이의리,KIA,3.86,29,10,10,0,0,0.5,154.0,128,18,74,9,161,79,66,1.31,9.409090909090908,4.324675324675325,4.245454545454546,28,10,0,0,0,0,7,131,164,0.8
2022,18,박세웅,롯데,3.89,28,10,11,0,0,0.476,157.33333333333334,179,8,32,8,146,80,68,1.34,8.351694915254237,1.830508474576271,2.7677966101694915,28,10,0,0,0,0,16,195,111,1.76
