연도,팀명,평균순위,순위변동성,최고순위,최저순위,3월_평균순위,4월_평균순위,5월_평균순위,6월_평균순위,7월_평균순위,8월_평균순위,9월_평균순위,10월_평균순위,가을야구
2022,KIA,5.08,1.05,3,8,,5.88,5.81,3.88,4.9,5.0,5.0,5.0,1.0
2022,KT,5.23,1.83,1,10,,6.96,7.5,5.88,4.05,3.68,3.88,3.1,1.0
2022,LG,2.49,0.74,1,5,,2.04,2.92,3.08,3.0,2.12,2.0,2.1,1.0
2022,NC,8.18,1.44,6,10,,8.72,9.65,9.31,8.76,7.32,6.27,6.0,0.0
2022,SSG,1.0,0.0,1,1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2022,두산,6.26,2.23,1,9,,3.0,4.23,6.46,6.81,7.12,8.92,9.0,0.0
2022,롯데,6.16,1.67,1,8,,4.08,4.65,7.77,6.43,6.6,6.81,7.8,0.0
2022,삼성,6.99,1.58,3,9,,6.12,5.54,5.77,7.81,8.96,7.92,7.0,0.0
2022,키움,3.16,1.26,2,7,,4.36,3.85,2.0,2.0,3.2,3.12,3.8,1.0
2022,한화,9.59,0.66,6,10,,8.72,9.04,9.69,10.0,10.0,10.0,10.0,0.0
2023,KIA,6.17,1.36,2,10,,7.19,5.54,6.6,7.25,5.81,5.07,6.0,0.0
2023,KT,5.35,3.08,1,10,,5.42,9.73,8.24,6.45,2.96,2.0,2.0,1.0
2023,LG,1.46,0.79,1,6,,2.12,2.15,1.72,1.0,1.0,1.0,1.0,1.0
2023,NC,3.79,0.99,1,8,,3.73,4.54,3.48,3.95,3.92,3.3,3.59,1.0
2023,SSG,2.38,1.36,1,6,,1.46,1.46,1.28,2.0,2.38,4.52,3.88,1.0
2023,두산,4.39,1.13,1,7,,3.35,4.62,5.08,3.35,4.85,5.07,4.06,1.0
2023,롯데,5.29,2.07,1,9,,5.77,2.27,3.6,4.75,6.96,7.0,7.0,0.0
2023,삼성,8.26,1.5,1,10,,7.19,6.81,8.32,10.0,8.96,8.67,8.24,0.0
2023,키움,8.11,2.0,1,10,,5.31,7.77,7.08,7.55,9.69,9.81,9.94,0.0
2023,한화,8.9,0.79,6,10,,9.5,9.19,9.48,8.35,8.35,8.52,8.82,0.0
2024,KIA,1.07,0.28,1,3,1.25,1.2,1.0,1.15,1.0,1.0,1.0,1.0,1.0
2024,KT,7.09,1.76,4,10,8.38,9.32,7.5,8.69,6.52,5.59,4.78,5.0,1.0
2024,LG,3.26,1.25,1,6,3.25,5.12,4.23,2.31,2.43,2.52,3.0,3.0,1.0
2024,NC,5.61,2.66,1,10,2.75,2.24,2.88,5.96,5.87,8.15,9.0,9.0,0.0
2024,SSG,5.01,1.14,1,8,4.0,3.56,4.92,5.0,5.13,5.41,6.19,6.0,0.0
2024,두산,4.5,1.5,2,8,4.38,7.2,4.38,3.42,3.83,4.0,4.26,4.0,1.0
2024,롯데,8.5,1.04,6,10,8.12,9.4,9.88,8.08,8.22,8.22,7.41,7.0,0.0
2024,삼성,3.26,1.73,1,9,4.62,6.0,2.96,3.12,2.78,2.48,2.0,2.0,1.0
2024,키움,8.72,2.08,2,10,8.0,4.6,7.88,9.96,9.96,9.96,10.0,10.0,0.0
2024,한화,7.23,1.88,1,10,2.5,5.44,8.5,7.27,8.74,7.63,7.3,8.0,0.0
2025,KIA,6.4,1.67,1,10,5.0,7.4,6.65,5.76,4.48,5.93,7.96,8.0,0.0
2025,KT,4.91,1.1,2,7,3.5,3.8,5.08,5.44,5.0,5.59,4.78,6.0,0.0
2025,LG,1.26,0.45,1,3,1.0,1.0,1.15,1.48,2.05,1.15,1.0,1.0,1.0
2025,NC,7.07,1.32,3,9,4.88,7.48,6.85,8.0,7.86,6.67,6.78,5.0,1.0
2025,SSG,4.41,1.6,1,8,1.88,4.24,5.38,5.8,5.71,3.7,3.0,3.0,1.0
2025,두산,8.61,0.9,4,10,7.88,7.2,8.65,9.0,9.0,9.0,9.0,9.0,0.0
2025,롯데,4.13,1.73,2,10,7.75,4.72,2.81,3.08,2.86,3.41,6.07,7.0,0.0
2025,삼성,5.02,1.84,1,8,2.0,3.08,5.31,4.72,6.67,7.33,4.3,4.0,1.0
2025,키움,9.64,1.21,2,10,5.88,9.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0
2025,한화,2.52,2.16,1,10,5.75,5.88,1.81,1.48,1.0,1.85,2.0,2.0,1.0
2026,KIA,6.43,2.0,4,10,6.67,6.4,,,,,,,
2026,KT,1.43,0.66,1,3,1.0,1.5,,,,,,,
2026,LG,3.65,2.31,1,8,7.0,3.15,,,,,,,
2026,NC,4.22,1.98,1,7,3.0,4.4,,,,,,,
2026,SSG,2.61,1.47,1,5,1.0,2.85,,,,,,,
2026,두산,7.48,1.31,5,9,5.67,7.75,,,,,,,
2026,롯데,6.96,2.57,1,10,1.67,7.75,,,,,,,
2026,삼성,3.65,1.99,1,8,7.0,3.15,,,,,,,
2026,키움,8.78,1.41,6,10,7.0,9.05,,,,,,,
2026,한화,5.13,1.77,1,7,1.67,5.65,,,,,,,
