연도,팀명,순위,경기,승,패,무,승률,게임차,홈승,홈무,홈패,원정승,원정무,원정패,홈승률,원정승률,가을야구
2022,SSG,1,144,88,52,4,0.629,0.0,49,0,23,39,4,29,0.6805555555555556,0.5735294117647058,1.0
2022,키움,2,144,80,62,2,0.563,9.0,39,1,32,41,1,30,0.5492957746478874,0.5774647887323944,1.0
2022,LG,3,144,87,55,2,0.613,2.0,38,1,33,49,1,22,0.5352112676056338,0.6901408450704225,1.0
2022,KT,4,144,80,62,2,0.563,9.0,40,1,31,40,1,31,0.5633802816901409,0.5633802816901409,1.0
2022,KIA,5,144,70,73,1,0.49,19.5,31,0,41,39,1,32,0.4305555555555556,0.5492957746478874,1.0
2022,NC,6,144,67,74,3,0.475,21.5,35,3,34,32,0,40,0.5072463768115942,0.4444444444444444,0.0
2022,삼성,7,144,66,76,2,0.465,23.0,33,2,37,33,0,39,0.4714285714285714,0.4583333333333333,0.0
2022,롯데,8,144,64,76,4,0.457,24.0,27,3,42,37,1,34,0.391304347826087,0.5211267605633803,0.0
2022,두산,9,144,60,82,2,0.423,29.0,29,1,42,31,1,40,0.4084507042253521,0.4366197183098591,0.0
2022,한화,10,144,46,96,2,0.324,43.0,28,0,44,18,2,52,0.3888888888888889,0.2571428571428571,0.0
2023,LG,1,144,86,56,2,0.606,0.0,45,1,25,41,1,31,0.6428571428571429,0.5694444444444444,1.0
2023,KT,2,144,79,62,3,0.56,6.5,41,2,30,38,1,32,0.5774647887323944,0.5428571428571428,1.0
2023,SSG,3,144,76,65,3,0.539,9.5,39,2,32,37,1,33,0.5492957746478874,0.5285714285714286,1.0
2023,NC,4,144,75,67,2,0.528,11.0,41,1,29,34,1,38,0.5857142857142857,0.4722222222222222,1.0
2023,두산,5,144,74,68,2,0.521,12.0,37,1,35,37,1,33,0.5138888888888888,0.5285714285714286,1.0
2023,KIA,6,144,73,69,2,0.514,13.0,38,2,31,35,0,38,0.5507246376811594,0.4794520547945205,0.0
2023,롯데,7,144,68,76,0,0.472,19.0,38,0,35,30,0,41,0.5205479452054794,0.4225352112676056,0.0
2023,삼성,8,144,61,82,1,0.427,25.5,32,0,39,29,1,43,0.4507042253521127,0.4027777777777778,0.0
2023,한화,9,144,58,80,6,0.42,26.0,32,1,40,26,5,40,0.4444444444444444,0.3939393939393939,0.0
2023,키움,10,144,58,83,3,0.411,27.5,33,2,36,25,1,47,0.4782608695652174,0.3472222222222222,0.0
2024,KIA,1,144,87,55,2,0.613,0.0,42,1,30,45,1,25,0.5833333333333334,0.6428571428571429,1.0
2024,삼성,2,144,78,64,2,0.549,9.0,41,0,32,37,2,32,0.5616438356164384,0.5362318840579711,1.0
2024,LG,3,144,76,66,2,0.535,11.0,39,1,33,37,1,33,0.5416666666666666,0.5285714285714286,1.0
2024,두산,4,144,74,68,2,0.521,13.0,39,1,31,35,1,37,0.5571428571428572,0.4861111111111111,1.0
2024,KT,5,144,72,70,2,0.507,15.0,34,1,36,38,1,34,0.4857142857142857,0.5277777777777778,1.0
2024,SSG,6,144,72,70,2,0.507,15.0,35,1,35,37,1,35,0.5,0.5138888888888888,0.0
2024,롯데,7,144,66,74,4,0.471,20.0,37,3,31,29,1,43,0.5441176470588235,0.4027777777777778,0.0
2024,한화,8,144,66,76,2,0.465,21.0,30,2,39,36,0,37,0.4347826086956521,0.4931506849315068,0.0
2024,NC,9,144,61,81,2,0.43,26.0,34,0,39,27,2,42,0.4657534246575342,0.391304347826087,0.0
2024,키움,10,144,58,86,0,0.403,30.0,32,0,41,26,0,45,0.4383561643835616,0.3661971830985915,0.0
2025,LG,1,144,85,56,3,0.603,0.0,41,1,29,44,2,27,0.5857142857142857,0.6197183098591549,1.0
2025,한화,2,144,83,57,4,0.593,1.5,44,2,27,39,2,30,0.6197183098591549,0.5652173913043478,1.0
2025,SSG,3,144,75,65,4,0.536,9.5,38,4,31,37,0,34,0.5507246376811594,0.5211267605633803,1.0
2025,삼성,4,144,74,68,2,0.521,11.5,41,0,30,33,2,38,0.5774647887323944,0.4647887323943662,1.0
2025,NC,5,144,71,67,6,0.514,12.5,36,1,34,35,5,33,0.5142857142857142,0.5147058823529411,1.0
2025,KT,6,144,71,68,5,0.511,13.0,36,2,35,35,3,33,0.5070422535211268,0.5147058823529411,0.0
2025,롯데,7,144,66,72,6,0.478,17.5,35,4,34,31,2,38,0.5072463768115942,0.4492753623188406,0.0
2025,KIA,8,144,65,75,4,0.464,19.5,35,2,34,30,2,41,0.5072463768115942,0.4225352112676056,0.0
2025,두산,9,144,61,77,6,0.442,22.5,29,4,40,32,2,37,0.4202898550724637,0.463768115942029,0.0
2025,키움,10,144,47,93,4,0.336,37.5,23,2,46,24,2,47,0.3333333333333333,0.3380281690140845,0.0
2026,KT,1,22,16,6,0,0.727,0.0,8,0,4,8,0,2,0.6666666666666666,0.8,
2026,LG,2,21,14,7,0,0.667,1.5,9,0,5,5,0,2,0.6428571428571429,0.7142857142857143,
2026,SSG,3,21,13,8,0,0.619,2.5,6,0,4,7,0,4,0.6,0.6363636363636364,
2026,삼성,4,21,12,8,1,0.6,3.0,6,1,6,6,0,2,0.5,0.75,
2026,KIA,5,22,10,12,0,0.455,6.0,5,0,3,5,0,9,0.625,0.3571428571428571,
2026,한화,6,21,9,12,0,0.429,6.5,2,0,9,7,0,3,0.1818181818181818,0.7,
2026,NC,6,21,9,12,0,0.429,6.5,6,0,6,3,0,6,0.5,0.3333333333333333,
2026,두산,6,22,9,12,1,0.429,6.5,4,0,4,5,1,8,0.5,0.3846153846153846,
2026,롯데,9,21,7,14,0,0.333,8.5,2,0,8,5,0,6,0.2,0.4545454545454545,
2026,키움,10,22,7,15,0,0.318,9.0,4,0,5,3,0,10,0.4444444444444444,0.2307692307692307,
