연도,순위,팀명,경기,승,패,무,승률,게임차,홈승,홈무,홈패,원정승,원정무,원정패,홈승률,원정승률,가을야구,bat_AVG,bat_OBP,bat_SLG,bat_OPS,bat_HR,bat_R,bat_RBI,bat_H,bat_2B,bat_3B,bat_BB,bat_HBP,bat_SO,bat_SF,bat_PA,bat_AB,bat_ISO,bat_BB_pct,bat_K_pct,bat_wOBA,pit_ERA,pit_WHIP,pit_K9,pit_BB9,pit_FIP,pit_SV,pit_HLD,pit_W,pit_L,pit_R,pit_IP,pit_SO,pit_BB,pit_HR,def_FPCT,def_E,def_DP,def_PB,run_SB,run_SB%,run_OOB,run_PKO,run_SBA,run_CS,득실차,기대승률,승률_운,평균순위,순위변동성,최고순위,최저순위
2022,1,SSG,144,88,52,4,0.629,0.0,49,0,23,39,4,29,0.6805555555555556,0.5735294117647058,1.0,0.254,0.336,0.396,0.732,138,720,682,1245,242,18,530,95,1075,47,5642,4893,0.142,0.0939383197447713,0.1905352711804324,0.3215579581708614,3.87,1.29,7.0750512295081975,3.160604508196722,4.129815573770492,45,68,88,52,622,1301.3333333333333,1023,457,130,0.98,109,138,4,98,71.5,42,4,137,39,98.0,0.5665,0.0625,1.0,0.0,1,1
2022,2,키움,144,80,62,2,0.563,9.0,39,1,32,41,1,30,0.5492957746478874,0.5774647887323944,1.0,0.252,0.333,0.364,0.697,94,621,578,1250,203,33,527,92,1032,34,5655,4953,0.1119999999999999,0.0931918656056587,0.1824933687002652,0.3107586206896552,3.79,1.34,7.012085368989458,3.401902802777064,3.900437130367704,48,84,80,62,610,1296.3333333333333,1010,490,96,0.979,118,134,7,63,75.9,42,8,83,20,11.0,0.5082,0.0548,3.16,1.26,2,7
2022,3,LG,144,87,55,2,0.613,2.0,38,1,33,49,1,22,0.5352112676056338,0.6901408450704225,1.0,0.269,0.346,0.396,0.742,118,715,674,1325,208,33,501,103,924,46,5627,4927,0.127,0.0890350097743024,0.1642082814999111,0.3278851963746224,3.33,1.27,7.204192546583851,3.1513975155279503,3.7357142857142858,43,107,87,55,521,1288.0,1031,451,94,0.983,89,139,7,102,68.9,46,10,148,46,194.0,0.6409,-0.0279,2.49,0.74,1,5
2022,4,KT,144,80,62,2,0.563,9.0,40,1,31,40,1,31,0.5633802816901409,0.5633802816901409,1.0,0.254,0.33,0.375,0.705,119,631,588,1237,192,19,519,49,1183,44,5547,4864,0.121,0.0935640886965927,0.2132684333874166,0.3110041463854335,3.51,1.25,7.508544795442776,2.544795442775764,3.455567063697566,37,65,80,62,562,1287.3333333333333,1074,364,92,0.982,97,132,8,89,72.4,38,6,123,34,69.0,0.5528,0.0102,5.23,1.83,1,10
2022,5,KIA,144,70,73,1,0.49,19.5,31,0,41,39,1,32,0.4305555555555556,0.5492957746478874,1.0,0.272,0.349,0.398,0.747,113,720,677,1361,250,19,542,63,983,36,5703,5000,0.126,0.0950376994564264,0.172365421707873,0.3289900052603893,4.2,1.42,7.328470955978118,3.699400885647304,4.180724146913259,38,74,70,73,679,1279.6666666666667,1042,526,120,0.98,107,111,8,103,75.2,57,5,137,34,41.0,0.5268,-0.0368,5.08,1.05,3,8
2022,6,NC,144,67,74,3,0.475,21.5,35,3,34,32,0,40,0.5072463768115942,0.4444444444444444,0.0,0.257,0.334,0.375,0.709,105,646,613,1260,230,15,501,88,981,47,5585,4899,0.118,0.0897045658012533,0.1756490599820949,0.3143867502238138,3.9,1.36,8.169948186528497,3.6023316062176165,3.935233160621762,25,54,67,74,642,1286.6666666666667,1168,515,111,0.976,127,115,9,100,71.9,56,7,139,39,4.0,0.5028,-0.0278,8.18,1.44,6,10
2022,7,삼성,144,66,76,2,0.465,23.0,33,2,37,33,0,39,0.4714285714285714,0.4583333333333333,0.0,0.27,0.334,0.387,0.721,103,663,627,1358,241,19,446,54,1029,41,5647,5023,0.1169999999999999,0.0789799893748893,0.1822206481317513,0.3161537099344785,4.29,1.44,6.79020979020979,3.3426573426573425,4.262160062160063,34,71,66,76,695,1287.0,971,478,129,0.978,118,125,6,91,77.1,50,6,118,27,-32.0,0.4784,-0.0134,6.99,1.58,3,9
2022,8,롯데,144,64,76,4,0.457,24.0,27,3,42,37,1,34,0.391304347826087,0.5211267605633803,0.0,0.267,0.328,0.383,0.711,106,605,570,1320,227,16,417,54,991,42,5534,4948,0.1159999999999999,0.0753523671846765,0.1790748102638236,0.3121810625225876,4.45,1.46,8.426080166579906,3.4575741801145234,3.520145757418012,34,69,64,76,712,1280.6666666666667,1199,492,84,0.979,114,124,11,61,61.0,54,6,100,39,-107.0,0.426,0.031,6.16,1.67,1,8
2022,9,두산,144,60,82,2,0.423,29.0,29,1,42,31,1,40,0.4084507042253521,0.4366197183098591,0.0,0.255,0.324,0.365,0.689,101,638,592,1249,210,12,450,71,1007,45,5510,4891,0.1099999999999999,0.0816696914700544,0.1827586206896551,0.3056261343012704,4.45,1.48,6.873110995310057,3.904377279833247,4.327149557060969,32,68,60,82,721,1279.3333333333333,977,555,117,0.978,117,128,13,90,69.2,55,4,130,40,-83.0,0.4443,-0.0213,6.26,2.23,1,9
2022,10,한화,144,46,96,2,0.324,43.0,28,0,44,18,2,52,0.3888888888888889,0.2571428571428571,0.0,0.245,0.319,0.352,0.671,88,564,520,1196,217,19,497,52,1264,40,5513,4878,0.1069999999999999,0.0901505532378015,0.2292762561218937,0.2988608742971159,4.83,1.51,6.911432325886992,4.271747700394219,4.432325886990801,25,81,46,96,759,1268.3333333333333,974,602,112,0.975,134,111,8,93,65.5,49,6,142,49,-195.0,0.3674,-0.0434,9.59,0.66,6,10
