피처명,중요도,중요도(%),LOGO_AUC_평균,LOGO_AUC_std,학습시즌
승률,0.2498,24.98,0.96,0.049,"[2022, 2023, 2024, 2025]"
원정승률,0.1763,17.63,0.96,0.049,"[2022, 2023, 2024, 2025]"
홈승률,0.1424,14.24,0.96,0.049,"[2022, 2023, 2024, 2025]"
기대승률,0.1163,11.63,0.96,0.049,"[2022, 2023, 2024, 2025]"
득실차,0.1098,10.98,0.96,0.049,"[2022, 2023, 2024, 2025]"
pit_ERA,0.0442,4.42,0.96,0.049,"[2022, 2023, 2024, 2025]"
승률_운,0.0372,3.72,0.96,0.049,"[2022, 2023, 2024, 2025]"
pit_WHIP,0.0308,3.08,0.96,0.049,"[2022, 2023, 2024, 2025]"
bat_OPS,0.0256,2.56,0.96,0.049,"[2022, 2023, 2024, 2025]"
pit_BB9,0.0227,2.27,0.96,0.049,"[2022, 2023, 2024, 2025]"
def_FPCT,0.013,1.3,0.96,0.049,"[2022, 2023, 2024, 2025]"
pit_FIP,0.0123,1.23,0.96,0.049,"[2022, 2023, 2024, 2025]"
run_SB%,0.012,1.2,0.96,0.049,"[2022, 2023, 2024, 2025]"
pit_K9,0.0076,0.76,0.96,0.049,"[2022, 2023, 2024, 2025]"
